,x11,x12,x21,x22,x31,x32,x33,Y1,Y2,Y3,Y4,b_row,b_col
0,5.05,2.015,7.05,8.015,10.0,1.0,5.1,254.621,98.145,119.406,117.683,176.383,0.5
1,5.15,2.1,7.15,9.109,15.8,2.1,4.2,198.163,73.368,92.651,90.123,135.7655,0.5
2,5.2,2.12,7.192,9.125,22.5,2.5,3.5,187.411,71.084,87.691,83.57600000000002,129.2475,0.5
3,5.25,2.17,7.25,9.175,25.0,3.51,2.72,167.197,63.567,78.793,74.789,115.382,0.5
4,5.325,2.2,7.325,9.198,32.5,4.2,2.53,166.547,63.813,79.497,74.316,115.18,0.5
5,5.35,2.25,7.35,9.251,35.0,5.02,2.1,153.789,61.378,77.082,72.817,107.58349999999999,0.5
6,5.4,2.4,7.411,9.395,40.7,8.2,1.15,110.926,55.57899999999999,67.758,77.425,83.2525,0.5
7,5.5,2.5,7.505,9.498,51.8,10.1,0.72,151.381,60.432,71.956,89.51899999999998,105.9065,0.5
8,5.6,2.6,7.61,9.598,65.0,12.8,0.54,187.364,76.283,91.123,121.374,131.8235,0.5
9,5.7,2.7,7.695,9.699,72.0,14.4,0.12,236.123,93.657,112.859,149.173,164.89,0.5
10,5.75,2.75,7.75,9.748,75.4,14.7,1.25,292.341,118.624,153.717,184.136,205.48250000000002,0.5
11,5.8,2.775,7.8039999999999985,9.775,82.8,15.5,1.76,288.324,114.324,117.965,179.15200000000004,201.324,0.5
12,5.85,2.8,7.85,9.798,85.0,16.3,2.23,326.939,128.92600000000002,155.912,201.239,227.9325,0.5
13,5.907,2.85,8.05,9.85,90.78,16.7,2.61,377.128,148.675,169.359,225.482,262.9015,0.5
14,5.91,2.855,7.91,9.855,91.0,16.9,4.16,405.327,159.36700000000005,192.924,240.976,282.34700000000004,0.5
15,5.925,2.865,7.925,9.865,92.5,17.5,5.25,458.386,180.567,218.549,275.846,319.4765,0.5
16,5.9289999999999985,2.885,8.011000000000001,9.875,92.9,17.7,6.37,518.859,183.932,247.354,316.124,351.3955,0.5
17,5.933,2.915,7.933,9.899,93.5,18.2,7.26,595.737,235.124,284.1670000000001,363.92800000000005,415.4305,0.5
18,5.935,2.95,7.935,9.951,94.58,19.1,7.51,506.168,261.946,316.375,403.153,384.057,0.5
19,5.95,2.975,7.95,9.975,95.4,19.5,7.74,685.7610000000002,281.387,341.326,431.195,483.57400000000007,0.5
20,5.01,1.995,6.95,9.015,11.5,21.0,8.14,790.6389999999999,310.519,375.651,471.588,550.579,0.5
21,5.05,2.975,7.108,9.975,10.5,19.56,8.35,723.784,285.142,344.856,436.847,504.46299999999997,0.5
22,5.15,2.95,7.151,9.95,15.8,19.3,8.58,731.438,288.125,348.314,441.842,509.7815,0.5
23,5.2,2.9,7.204,9.915,21.5,18.7,8.74,721.321,283.435,344.716,439.425,502.37800000000004,0.5
24,5.25,2.875,7.247999999999998,9.875,26.4,17.56,8.85,691.845,272.834,329.94199999999995,422.147,482.33950000000004,0.5
25,5.325,2.865,7.325,9.865,32.5,17.1,9.21,708.6139999999998,280.562,349.316,435.954,494.5879999999999,0.5
26,5.35,2.855,7.351,9.855,35.3,16.7,9.52,729.956,287.987,348.231,450.492,508.9715,0.5
27,5.4,2.85,7.407999999999999,9.85,41.7,16.2,9.75,730.1289999999998,288.951,347.987,454.897,509.5399999999999,0.5
28,5.5,2.775,7.495,9.775,50.2,15.7,10.1,717.1519999999998,285.494,342.967,458.289,501.3229999999999,0.5
29,5.6,2.75,7.607,9.75,62.7,15.36,0.1,278.654,111.209,132.856,172.16400000000004,194.9315,0.5
30,5.7,2.71,7.697,9.697,69.8,14.7,1.15,242.145,96.197,115.632,153.356,169.171,0.5
31,5.75,2.603,7.75,9.605,75.1,13.34,1.36,186.243,77.325,93.135,127.168,131.784,0.5
32,5.8,2.495,7.797999999999999,9.495,80.52,11.72,1.75,162.345,64.615,77.824,106.123,113.47999999999999,0.5
33,5.85,2.394,7.85,9.415,85.2,8.9,2.13,132.879,52.534,63.453,82.65899999999998,92.70649999999999,0.5
34,5.907,2.245,7.9129999999999985,9.255,90.76,7.74,2.57,167.15599999999995,65.178,79.167,93.834,116.16699999999997,0.5
35,5.91,2.192,7.91,9.205,91.1,6.36,2.75,170.53099999999995,66.176,80.836,91.345,118.35349999999997,0.5
36,5.925,2.175,7.925,9.175,92.5,5.7,3.26,184.243,70.36399999999999,87.19200000000002,96.841,127.30349999999999,0.5
37,5.9289999999999985,2.125,7.9289999999999985,9.125,92.9,3.75,3.79,181.956,70.428,85.834,93.952,126.192,0.5
38,6.01,2.105,7.933,9.091,93.3,3.65,4.12,216.829,83.475,101.985,109.463,150.152,0.5
39,5.935,2.01,7.935,8.985,94.5,3.52,4.36,273.329,104.924,128.591,133.415,189.12650000000002,0.5
40,5.95,2.11,7.95,9.115,98.6,2.72,3.85,219.421,84.18299999999998,102.861,108.613,151.802,0.5
41,5.02,2.115,6.995,9.115,110.0,2.34,2.34,225.356,86.324,105.817,107.319,155.84,0.5
42,6.05,2.128,7.95,9.12,95.26,2.56,1.68,176.578,66.457,78.473,82.26299999999998,121.5175,0.5
43,5.935,2.131,7.935,9.13,93.52,2.76,1.32,170.94799999999995,65.814,81.417,84.132,118.38099999999997,0.5
44,5.925,2.135,7.925,9.135,92.8,2.98,1.16,168.334,64.54899999999999,78.653,81.95299999999997,116.44149999999999,0.5
